"yearID","teamID","lgID","playerID","G_all","GS","G_batting","G_defense","G_p","G_c","G_1b","G_2b","G_3b","G_ss","G_lf","G_cf","G_rf","G_of","G_dh","G_ph","G_pr","mainPos"
2020,"KCA","AL","duffyda01",12,11,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SFN","NL","duggast01",21,10,21,20,0,0,0,0,0,0,11,4,7,20,0,1,3,"LF"
2020,"MIA","NL","duggero01",4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","dunnida01",7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SEA","AL","dunnju01",10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","duvalad01",57,47,57,56,0,0,0,0,0,0,45,1,17,56,1,5,0,"LF"
2020,"CHA","AL","dysonja01",11,3,11,8,0,0,0,0,0,0,6,2,1,8,2,1,4,"LF"
2020,"PIT","NL","dysonja01",21,15,21,21,0,0,0,0,0,0,0,21,0,21,0,0,4,"CF"
2020,"WAS","NL","eatonad02",41,40,41,41,0,0,0,0,0,0,0,0,41,41,0,1,0,"RF"
2020,"SLN","NL","edmanto01",55,54,55,54,0,0,0,8,31,13,8,0,13,21,0,1,0,"3B"
2020,"SEA","AL","edwarca01",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PHI","NL","eflinza01",11,10,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIA","NL","eibnebr01",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","elledse01",12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","encared01",44,43,44,0,0,0,0,0,0,0,0,0,0,0,43,1,0,"DH"
2020,"CHA","AL","engelad01",36,23,36,35,0,0,0,0,0,0,9,3,25,35,0,4,6,"RF"
2020,"BOS","AL","eovalna01",9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","erlinro01",7,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","erlinro01",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CIN","NL","ervinph01",19,7,19,16,0,0,0,0,0,0,10,7,1,16,1,11,1,"LF"
2020,"SEA","AL","ervinph01",18,13,18,18,0,0,0,0,0,0,0,0,18,18,0,3,0,"RF"
2020,"ARI","NL","escobed01",54,53,54,50,0,0,0,3,47,0,0,0,0,0,4,0,0,"3B"
2020,"BAL","AL","eshelto01",12,4,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"WAS","NL","espinpa01",2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","espinsa01",27,19,26,24,2,0,0,0,2,21,0,0,0,0,0,0,4,"SS"
2020,"COL","NL","estevca01",26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYA","AL","estrath01",26,15,26,25,0,0,0,20,6,3,0,0,0,0,0,1,3,"2B"
2020,"TEX","AL","evansde01",4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","evansph01",11,11,11,11,0,0,1,0,8,0,1,0,1,2,0,0,0,"3B"
2020,"TBA","AL","fairbpe01",27,2,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYN","NL","familje01",25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","farmebu01",23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CIN","NL","farmeky01",32,19,32,32,0,0,1,13,2,15,2,0,0,2,0,0,1,"SS"
2020,"TEX","AL","farrelu01",4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"WAS","NL","feddeer01",11,8,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","felizmi01",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"LAN","NL","ferguca01",21,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","fernaju01",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIL","NL","feyerjo01",6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"OAK","AL","fiersmi01",11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"WAS","NL","finneky01",25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","fishede01",16,11,16,15,0,0,0,0,0,0,5,0,10,15,1,1,2,"RF"
2020,"SLN","NL","flaheja01",9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TBA","AL","flemijo01",7,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SEA","AL","fletcaa01",6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"LAA","AL","fletcda02",49,49,49,49,0,0,0,15,8,27,0,0,1,1,0,0,0,"SS"
2020,"CHA","AL","florebe01",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SFN","NL","florewi01",55,50,55,30,0,0,14,14,3,0,0,0,0,0,22,5,0,"DH"
2020,"NYA","AL","flories01",1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"CF"
2020,"LAN","NL","florody01",25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","flowety01",22,22,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,"C"
2020,"ATL","NL","foltymi01",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","fontwi01",21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYA","AL","fordmi01",29,18,29,13,0,0,13,0,0,0,0,0,0,0,7,10,0,"1B"
2020,"MIA","NL","forsylo01",13,11,12,11,1,0,4,6,0,0,0,0,0,0,2,0,0,"2B"
2020,"CHA","AL","fostema01",23,2,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","fowlede01",31,29,31,27,0,0,0,0,0,0,0,0,27,27,2,2,0,"RF"
2020,"SEA","AL","fraleja01",7,7,7,7,0,0,0,0,0,0,1,0,6,7,0,0,0,"RF"
2020,"KCA","AL","francma02",60,60,60,52,0,0,2,0,51,0,0,0,0,0,8,0,0,"3B"
2020,"SDN","NL","francty01",20,12,20,7,0,0,5,0,2,0,0,0,0,0,10,8,0,"DH"
2020,"SEA","AL","francty01",23,23,23,14,0,0,0,10,4,0,0,0,0,0,9,0,0,"2B"
2020,"SEA","AL","frankse01",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","fraziad01",58,54,58,54,0,0,0,41,0,0,14,0,0,14,2,3,0,"2B"
2020,"NYA","AL","frazicl01",39,39,39,34,0,0,0,0,0,0,8,0,28,34,5,0,0,"RF"
2020,"NYN","NL","frazito01",14,12,14,14,1,0,0,0,14,0,0,0,0,0,0,0,0,"3B"
2020,"TEX","AL","frazito01",31,30,31,31,0,0,16,0,15,0,0,0,0,0,0,1,0,"1B"
2020,"COL","NL","freelky01",13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","freemfr01",60,58,60,58,0,0,58,0,0,0,0,0,0,0,2,2,0,"1B"
2020,"CLE","AL","freemmi01",24,8,24,18,0,0,1,4,6,3,4,0,0,4,2,8,2,"3B"
2020,"WAS","NL","freemsa01",7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","friedma01",11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","fryja01",18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BAL","AL","frypa01",22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"COL","NL","fuentjo01",30,24,30,28,0,0,26,0,6,0,2,0,1,2,0,4,0,"1B"
2020,"BAL","AL","fulmeca01",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","fulmeca01",7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","fulmemi01",10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","funkhky01",13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,"P"
